dx_cd|ICD9|ICD10
V709|UNSPECIFIED GENERAL MEDICAL EXAMINATION|UNSPECIFIED OCCUPANT OF BUS INJURED IN COLLISION WITH PEDESTRIAN OR ANIMAL IN TRAFFIC ACCIDENT
V71|OBSERVATION AND EVALUATION FOR SUSPECTED CONDITIONS NOT FOUND|BUS OCCUPANT INJURED IN COLLISION WITH PEDAL CYCLE
V710|OBSERVATION FOR SUSPECTED MENTAL CONDITION|DRIVER OF BUS INJURED IN COLLISION WITH PEDAL CYCLE IN NONTRAFFIC ACCIDENT
V711|OBSERVATION FOR SUSPECTED MALIGNANT NEOPLASM|PASSENGER ON BUS INJURED IN COLLISION WITH PEDAL CYCLE IN NONTRAFFIC ACCIDENT
V712|OBSERVATION FOR SUSPECTED TUBERCULOSIS|PERSON ON OUTSIDE OF BUS INJURED IN COLLISION WITH PEDAL CYCLE IN NONTRAFFIC ACCIDENT
V713|OBSERVATION FOLLOWING ACCIDENT AT WORK|UNSPECIFIED OCCUPANT OF BUS INJURED IN COLLISION WITH PEDAL CYCLE IN NONTRAFFIC ACCIDENT
V714|OBSERVATION FOLLOWING OTHER ACCIDENT|PERSON BOARDING OR ALIGHTING FROM BUS INJURED IN COLLISION WITH PEDAL CYCLE
V715|OBSERVATION FOLLOWING ALLEGED RAPE OR SEDUCTION|DRIVER OF BUS INJURED IN COLLISION WITH PEDAL CYCLE IN TRAFFIC ACCIDENT
V716|OBSERVATION FOLLOWING OTHER INFLICTED INJURY|PASSENGER ON BUS INJURED IN COLLISION WITH PEDAL CYCLE IN TRAFFIC ACCIDENT
V717|OBSERVATION FOR SUSPECTED CARDIOVASCULAR DISEASE|PERSON ON OUTSIDE OF BUS INJURED IN COLLISION WITH PEDAL CYCLE IN TRAFFIC ACCIDENT
V719|OBSERVATION FOR UNSPECIFIED SUSPECTED CONDITION|UNSPECIFIED OCCUPANT OF BUS INJURED IN COLLISION WITH PEDAL CYCLE IN TRAFFIC ACCIDENT
V72|SPECIAL INVESTIGATIONS AND EXAMINATIONS|BUS OCCUPANT INJURED IN COLLISION WITH TWO- OR THREE-WHEELED MOTOR VEHICLE
V720|EXAMINATION OF EYES AND VISION|DRIVER OF BUS INJURED IN COLLISION WITH TWO- OR THREE-WHEELED MOTOR VEHICLE IN NONTRAFFIC ACCIDENT
V721|EXAMINATION OF EARS AND HEARING|PASSENGER ON BUS INJURED IN COLLISION WITH TWO- OR THREE-WHEELED MOTOR VEHICLE IN NONTRAFFIC ACCIDENT
V722|DENTAL EXAMINATION|PERSON ON OUTSIDE OF BUS INJURED IN COLLISION WITH TWO- OR THREE-WHEELED MOTOR VEHICLE IN NONTRAFFIC ACCIDENT
V723|GYNECOLOGICAL EXAMINATION|UNSPECIFIED OCCUPANT OF BUS INJURED IN COLLISION WITH TWO- OR THREE-WHEELED MOTOR VEHICLE IN NONTRAFFIC ACCIDENT
V724|PREGNANCY EXAMINATION OR TEST|PERSON BOARDING OR ALIGHTING FROM BUS INJURED IN COLLISION WITH TWO- OR THREE-WHEELED MOTOR VEHICLE
V725|RADIOLOGICAL EXAMINATION, NOT ELSEWHERE CLASSIFIED|DRIVER OF BUS INJURED IN COLLISION WITH TWO- OR THREE-WHEELED MOTOR VEHICLE IN TRAFFIC ACCIDENT
V726|LABORATORY EXAMINATION|PASSENGER ON BUS INJURED IN COLLISION WITH TWO- OR THREE-WHEELED MOTOR VEHICLE IN TRAFFIC ACCIDENT
V727|DIAGNOSTIC SKIN AND SENSITIZATION TESTS|PERSON ON OUTSIDE OF BUS INJURED IN COLLISION WITH TWO- OR THREE-WHEELED MOTOR VEHICLE IN TRAFFIC ACCIDENT
V729|UNSPECIFIED EXAMINATION|UNSPECIFIED OCCUPANT OF BUS INJURED IN COLLISION WITH TWO- OR THREE-WHEELED MOTOR VEHICLE IN TRAFFIC ACCIDENT
V73|SPECIAL SCREENING EXAMINATION FOR VIRAL AND CHLAMYDIAL DISEASES|BUS OCCUPANT INJURED IN COLLISION WITH CAR, PICK-UP TRUCK OR VAN
V730|SCREENING EXAMINATION FOR POLIOMYELITIS|DRIVER OF BUS INJURED IN COLLISION WITH CAR, PICK-UP TRUCK OR VAN IN NONTRAFFIC ACCIDENT
V731|SCREENING EXAMINATION FOR SMALLPOX|PASSENGER ON BUS INJURED IN COLLISION WITH CAR, PICK-UP TRUCK OR VAN IN NONTRAFFIC ACCIDENT
V732|SCREENING EXAMINATION FOR MEASLES|PERSON ON OUTSIDE OF BUS INJURED IN COLLISION WITH CAR, PICK-UP TRUCK OR VAN IN NONTRAFFIC ACCIDENT
V733|SCREENING EXAMINATION FOR RUBELLA|UNSPECIFIED OCCUPANT OF BUS INJURED IN COLLISION WITH CAR, PICK-UP TRUCK OR VAN IN NONTRAFFIC ACCIDENT
V734|SCREENING EXAMINATION FOR YELLOW FEVER|PERSON BOARDING OR ALIGHTING FROM BUS INJURED IN COLLISION WITH CAR, PICK-UP TRUCK OR VAN
V735|SCREENING EXAMINATION FOR OTHER ARTHROPOD-BORNE VIRAL DISEASES|DRIVER OF BUS INJURED IN COLLISION WITH CAR, PICK-UP TRUCK OR VAN IN TRAFFIC ACCIDENT
V736|SCREENING EXAMINATION FOR TRACHOMA|PASSENGER ON BUS INJURED IN COLLISION WITH CAR, PICK-UP TRUCK OR VAN IN TRAFFIC ACCIDENT
V739|SCREENING EXAMINATION FOR UNSPECIFIED VIRAL AND CHLAMYDIAL DISEASE|UNSPECIFIED OCCUPANT OF BUS INJURED IN COLLISION WITH CAR, PICK-UP TRUCK OR VAN IN TRAFFIC ACCIDENT
V74|SPECIAL SCREENING EXAMINATION FOR BACTERIAL AND SPIROCHETAL DISEASES|BUS OCCUPANT INJURED IN COLLISION WITH HEAVY TRANSPORT VEHICLE OR BUS
V740|SCREENING EXAMINATION FOR CHOLERA|DRIVER OF BUS INJURED IN COLLISION WITH HEAVY TRANSPORT VEHICLE OR BUS IN NONTRAFFIC ACCIDENT
V741|SCREENING EXAMINATION FOR PULMONARY TUBERCULOSIS|PASSENGER ON BUS INJURED IN COLLISION WITH HEAVY TRANSPORT VEHICLE OR BUS IN NONTRAFFIC ACCIDENT
V742|SCREENING EXAMINATION FOR LEPROSY (HANSEN'S DISEASE)|PERSON ON OUTSIDE OF BUS INJURED IN COLLISION WITH HEAVY TRANSPORT VEHICLE OR BUS IN NONTRAFFIC ACCIDENT
V743|SCREENING EXAMINATION FOR DIPHTHERIA|UNSPECIFIED OCCUPANT OF BUS INJURED IN COLLISION WITH HEAVY TRANSPORT VEHICLE OR BUS IN NONTRAFFIC ACCIDENT
V744|SCREENING EXAMINATION FOR BACTERIAL CONJUNCTIVITIS|PERSON BOARDING OR ALIGHTING FROM BUS INJURED IN COLLISION WITH HEAVY TRANSPORT VEHICLE OR BUS
V745|SCREENING EXAMINATION FOR VENEREAL DISEASE|DRIVER OF BUS INJURED IN COLLISION WITH HEAVY TRANSPORT VEHICLE OR BUS IN TRAFFIC ACCIDENT
V746|SCREENING EXAMINATION FOR YAWS|PASSENGER ON BUS INJURED IN COLLISION WITH HEAVY TRANSPORT VEHICLE OR BUS IN TRAFFIC ACCIDENT
V749|SCREENING EXAMINATION FOR UNSPECIFIED BACTERIAL AND SPIROCHETAL DISEASES|UNSPECIFIED OCCUPANT OF BUS INJURED IN COLLISION WITH HEAVY TRANSPORT VEHICLE OR BUS IN TRAFFIC ACCIDENT
V75|SPECIAL SCREENING EXAMINATION FOR OTHER INFECTIOUS DISEASES|BUS OCCUPANT INJURED IN COLLISION WITH RAILWAY TRAIN OR RAILWAY VEHICLE
V750|SCREENING EXAMINATION FOR RICKETTSIAL DISEASES|DRIVER OF BUS INJURED IN COLLISION WITH RAILWAY TRAIN OR RAILWAY VEHICLE IN NONTRAFFIC ACCIDENT
V751|SCREENING EXAMINATION FOR MALARIA|PASSENGER ON BUS INJURED IN COLLISION WITH RAILWAY TRAIN OR RAILWAY VEHICLE IN NONTRAFFIC ACCIDENT
V752|SCREENING EXAMINATION FOR LEISHMANIASIS|PERSON ON OUTSIDE OF BUS INJURED IN COLLISION WITH RAILWAY TRAIN OR RAILWAY VEHICLE IN NONTRAFFIC ACCIDENT
V753|SCREENING EXAMINATION FOR TRYPANOSOMIASIS|UNSPECIFIED OCCUPANT OF BUS INJURED IN COLLISION WITH RAILWAY TRAIN OR RAILWAY VEHICLE IN NONTRAFFIC ACCIDENT
V754|SCREENING EXAMINATION FOR MYCOTIC INFECTIONS|PERSON BOARDING OR ALIGHTING FROM BUS INJURED IN COLLISION WITH RAILWAY TRAIN OR RAILWAY VEHICLE
V755|SCREENING EXAMINATION FOR SCHISTOSOMIASIS|DRIVER OF BUS INJURED IN COLLISION WITH RAILWAY TRAIN OR RAILWAY VEHICLE IN TRAFFIC ACCIDENT
V756|SCREENING EXAMINATION FOR FILARIASIS|PASSENGER ON BUS INJURED IN COLLISION WITH RAILWAY TRAIN OR RAILWAY VEHICLE IN TRAFFIC ACCIDENT
V757|SCREENING EXAMINATION FOR INTESTINAL HELMINTHIASIS|PERSON ON OUTSIDE OF BUS INJURED IN COLLISION WITH RAILWAY TRAIN OR RAILWAY VEHICLE IN TRAFFIC ACCIDENT
V759|SCREENING EXAMINATION FOR UNSPECIFIED INFECTIOUS DISEASE|UNSPECIFIED OCCUPANT OF BUS INJURED IN COLLISION WITH RAILWAY TRAIN OR RAILWAY VEHICLE IN TRAFFIC ACCIDENT
V76|SPECIAL SCREENING FOR MALIGNANT NEOPLASMS|BUS OCCUPANT INJURED IN COLLISION WITH OTHER NONMOTOR VEHICLE
V760|SPECIAL SCREENING FOR MALIGNANT NEOPLASMS OF THE RESPIRATORY ORGANS|DRIVER OF BUS INJURED IN COLLISION WITH OTHER NONMOTOR VEHICLE IN NONTRAFFIC ACCIDENT
V761|SCREENING FOR MALIGNANT NEOPLASMS OF THE BREAST|PASSENGER ON BUS INJURED IN COLLISION WITH OTHER NONMOTOR VEHICLE IN NONTRAFFIC ACCIDENT
V762|SCREENING FOR MALIGNANT NEOPLASMS OF THE CERVIX|PERSON ON OUTSIDE OF BUS INJURED IN COLLISION WITH OTHER NONMOTOR VEHICLE IN NONTRAFFIC ACCIDENT
V763|SCREENING FOR MALIGNANT NEOPLASMS OF THE BLADDER|UNSPECIFIED OCCUPANT OF BUS INJURED IN COLLISION WITH OTHER NONMOTOR VEHICLE IN NONTRAFFIC ACCIDENT
V764|SPECIAL SCREENING FOR MALIGNANT NEOPLASMS OF OTHER SITES|PERSON BOARDING OR ALIGHTING FROM BUS INJURED IN COLLISION WITH OTHER NONMOTOR VEHICLE
V765|SPECIAL SCREENING FOR MALIGNANT NEOPLASMS, INTESTINE|DRIVER OF BUS INJURED IN COLLISION WITH OTHER NONMOTOR VEHICLE IN TRAFFIC ACCIDENT
V769|SCREENING FOR UNSPECIFIED MALIGNANT NEOPLASMS|UNSPECIFIED OCCUPANT OF BUS INJURED IN COLLISION WITH OTHER NONMOTOR VEHICLE IN TRAFFIC ACCIDENT
V77|SPECIAL SCREENING FOR ENDOCRINE, NUTRITIONAL, METABOLIC, AND IMMUNITY DISORDERS|BUS OCCUPANT INJURED IN COLLISION WITH FIXED OR STATIONARY OBJECT
V770|SCREENING FOR THYROID DISORDERS|DRIVER OF BUS INJURED IN COLLISION WITH FIXED OR STATIONARY OBJECT IN NONTRAFFIC ACCIDENT
V771|SCREENING FOR DIABETES MELLITUS|PASSENGER ON BUS INJURED IN COLLISION WITH FIXED OR STATIONARY OBJECT IN NONTRAFFIC ACCIDENT
V772|SCREENING FOR MALNUTRITION|PERSON ON OUTSIDE OF BUS INJURED IN COLLISION WITH FIXED OR STATIONARY OBJECT IN NONTRAFFIC ACCIDENT
V773|SCREENING FOR PHENYLKETONURIA (PKU)|UNSPECIFIED OCCUPANT OF BUS INJURED IN COLLISION WITH FIXED OR STATIONARY OBJECT IN NONTRAFFIC ACCIDENT
V774|SCREENING FOR GALACTOSEMIA|PERSON BOARDING OR ALIGHTING FROM BUS INJURED IN COLLISION WITH FIXED OR STATIONARY OBJECT
V775|SCREENING FOR GOUT|DRIVER OF BUS INJURED IN COLLISION WITH FIXED OR STATIONARY OBJECT IN TRAFFIC ACCIDENT
V776|SCREENING FOR CYSTIC FIBROSIS|PASSENGER ON BUS INJURED IN COLLISION WITH FIXED OR STATIONARY OBJECT IN TRAFFIC ACCIDENT
V777|SCREENING FOR OTHER INBORN ERRORS OF METABOLISM|PERSON ON OUTSIDE OF BUS INJURED IN COLLISION WITH FIXED OR STATIONARY OBJECT IN TRAFFIC ACCIDENT
V779|SCREENING FOR OTHER AND UNSPECIFIED ENDOCRINE, NUTRITIONAL, METABOLIC AND IMMUNITY DISORDERS|UNSPECIFIED OCCUPANT OF BUS INJURED IN COLLISION WITH FIXED OR STATIONARY OBJECT IN TRAFFIC ACCIDENT
V78|SPECIAL SCREENING FOR DISORDERS OF BLOOD AND BLOOD-FORMING ORGANS|BUS OCCUPANT INJURED IN NONCOLLISION TRANSPORT ACCIDENT
V780|SCREENING FOR IRON DEFICIENCY ANEMIA|DRIVER OF BUS INJURED IN NONCOLLISION TRANSPORT ACCIDENT IN NONTRAFFIC ACCIDENT
V781|SCREENING FOR OTHER AND UNSPECIFIED DEFICIENCY ANEMIA|PASSENGER ON BUS INJURED IN NONCOLLISION TRANSPORT ACCIDENT IN NONTRAFFIC ACCIDENT
V782|SCREENING FOR SICKLE-CELL DISEASE OR TRAIT|PERSON ON OUTSIDE OF BUS INJURED IN NONCOLLISION TRANSPORT ACCIDENT IN NONTRAFFIC ACCIDENT
V783|SCREENING FOR OTHER HEMOGLOBINOPATHIES|UNSPECIFIED OCCUPANT OF BUS INJURED IN NONCOLLISION TRANSPORT ACCIDENT IN NONTRAFFIC ACCIDENT
V789|SCREENING FOR UNSPECIFIED DISORDER OF BLOOD AND BLOOD-FORMING ORGANS|UNSPECIFIED OCCUPANT OF BUS INJURED IN NONCOLLISION TRANSPORT ACCIDENT IN TRAFFIC ACCIDENT
V79|SPECIAL SCREENING FOR MENTAL DISORDERS AND DEVELOPMENTAL HANDICAPS|BUS OCCUPANT INJURED IN OTHER AND UNSPECIFIED TRANSPORT ACCIDENTS
V790|SCREENING FOR DEPRESSION|DRIVER OF BUS INJURED IN COLLISION WITH OTHER AND UNSPECIFIED MOTOR VEHICLES IN NONTRAFFIC ACCIDENT
V791|SCREENING FOR ALCOHOLISM|PASSENGER ON BUS INJURED IN COLLISION WITH OTHER AND UNSPECIFIED MOTOR VEHICLES IN NONTRAFFIC ACCIDENT
V792|SPECIAL SCREENING FOR INTELLECTUAL DISABILITIES|UNSPECIFIED BUS OCCUPANT INJURED IN COLLISION WITH OTHER AND UNSPECIFIED MOTOR VEHICLES IN NONTRAFFIC ACCIDENT
V793|SCREENING FOR DEVELOPMENTAL HANDICAPS IN EARLY CHILDHOOD|BUS OCCUPANT (DRIVER) (PASSENGER) INJURED IN UNSPECIFIED NONTRAFFIC ACCIDENT
V798|SCREENING FOR OTHER SPECIFIED MENTAL DISORDERS AND DEVELOPMENTAL HANDICAPS|BUS OCCUPANT (DRIVER) (PASSENGER) INJURED IN OTHER SPECIFIED TRANSPORT ACCIDENTS
V799|SCREENING FOR UNSPECIFIED MENTAL DISORDER AND DEVELOPMENTAL HANDICAP|BUS OCCUPANT (DRIVER) (PASSENGER) INJURED IN UNSPECIFIED TRAFFIC ACCIDENT
V80|SPECIAL SCREENING FOR NEUROLOGICAL, EYE, AND EAR DISEASES|ANIMAL-RIDER OR OCCUPANT OF ANIMAL-DRAWN VEHICLE INJURED IN TRANSPORT ACCIDENT
V800|SPECIAL SCREENING FOR NEUROLOGICAL CONDITIONS|ANIMAL-RIDER OR OCCUPANT OF ANIMAL DRAWN VEHICLE INJURED BY FALL FROM OR BEING THROWN FROM ANIMAL OR ANIMAL-DRAWN VEHICLE IN NONCOLLISION ACCIDENT
V8001|SPECIAL SCREENING FOR TRAUMATIC BRAIN INJURY|ANIMAL-RIDER INJURED BY FALL FROM OR BEING THROWN FROM ANIMAL IN NONCOLLISION ACCIDENT
V801|SCREENING FOR GLAUCOMA|ANIMAL-RIDER OR OCCUPANT OF ANIMAL-DRAWN VEHICLE INJURED IN COLLISION WITH PEDESTRIAN OR ANIMAL
V802|SCREENING FOR OTHER EYE CONDITIONS|ANIMAL-RIDER OR OCCUPANT OF ANIMAL-DRAWN VEHICLE INJURED IN COLLISION WITH PEDAL CYCLE
V803|SCREENING FOR EAR DISEASES|ANIMAL-RIDER OR OCCUPANT OF ANIMAL-DRAWN VEHICLE INJURED IN COLLISION WITH TWO- OR THREE-WHEELED MOTOR VEHICLE
V81|SPECIAL SCREENING FOR CARDIOVASCULAR, RESPIRATORY, AND GENITOURINARY DISEASES|OCCUPANT OF RAILWAY TRAIN OR RAILWAY VEHICLE INJURED IN TRANSPORT ACCIDENT
V810|SCREENING FOR ISCHEMIC HEART DISEASE|OCCUPANT OF RAILWAY TRAIN OR RAILWAY VEHICLE INJURED IN COLLISION WITH MOTOR VEHICLE IN NONTRAFFIC ACCIDENT
V811|SCREENING FOR HYPERTENSION|OCCUPANT OF RAILWAY TRAIN OR RAILWAY VEHICLE INJURED IN COLLISION WITH MOTOR VEHICLE IN TRAFFIC ACCIDENT
V812|SCREENING FOR OTHER AND UNSPECIFIED CARDIOVASCULAR CONDITIONS|OCCUPANT OF RAILWAY TRAIN OR RAILWAY VEHICLE INJURED IN COLLISION WITH OR HIT BY ROLLING STOCK
V813|SCREENING FOR CHRONIC BRONCHITIS AND EMPHYSEMA|OCCUPANT OF RAILWAY TRAIN OR RAILWAY VEHICLE INJURED IN COLLISION WITH OTHER OBJECT
V814|SCREENING FOR OTHER AND UNSPECIFIED RESPIRATORY CONDITIONS|PERSON INJURED WHILE BOARDING OR ALIGHTING FROM RAILWAY TRAIN OR RAILWAY VEHICLE
V815|SCREENING FOR NEPHROPATHY|OCCUPANT OF RAILWAY TRAIN OR RAILWAY VEHICLE INJURED BY FALL IN RAILWAY TRAIN OR RAILWAY VEHICLE
V816|SCREENING FOR OTHER AND UNSPECIFIED GENITOURINARY CONDITIONS|OCCUPANT OF RAILWAY TRAIN OR RAILWAY VEHICLE INJURED BY FALL FROM RAILWAY TRAIN OR RAILWAY VEHICLE
V82|SPECIAL SCREENING FOR OTHER CONDITIONS|OCCUPANT OF POWERED STREETCAR INJURED IN TRANSPORT ACCIDENT
V820|SCREENING FOR SKIN CONDITIONS|OCCUPANT OF STREETCAR INJURED IN COLLISION WITH MOTOR VEHICLE IN NONTRAFFIC ACCIDENT
V821|SCREENING FOR RHEUMATOID ARTHRITIS|OCCUPANT OF STREETCAR INJURED IN COLLISION WITH MOTOR VEHICLE IN TRAFFIC ACCIDENT
V822|SCREENING FOR OTHER RHEUMATIC DISORDERS|OCCUPANT OF STREETCAR INJURED IN COLLISION WITH OR HIT BY ROLLING STOCK
V823|SCREENING FOR CONGENITAL DISLOCATION OF HIP|OCCUPANT OF STREETCAR INJURED IN COLLISION WITH OTHER OBJECT
V824|MATERNAL POSTNATAL SCREENING FOR CHROMOSOMAL ANOMALIES|PERSON INJURED WHILE BOARDING OR ALIGHTING FROM STREETCAR
V825|SCREENING FOR CHEMICAL POISONING AND OTHER CONTAMINATION|OCCUPANT OF STREETCAR INJURED BY FALL IN STREETCAR
V826|MULTIPHASIC SCREENING|OCCUPANT OF STREETCAR INJURED BY FALL FROM STREETCAR
V827|GENETIC SCREENING|OCCUPANT OF STREETCAR INJURED IN DERAILMENT WITHOUT ANTECEDENT COLLISION
V828|SCREENING FOR OTHER SPECIFIED CONDITIONS|OCCUPANT OF STREETCAR INJURED IN OTHER SPECIFIED TRANSPORT ACCIDENTS
V829|SCREENING FOR UNSPECIFIED CONDITION|OCCUPANT OF STREETCAR INJURED IN UNSPECIFIED TRAFFIC ACCIDENT
V83|GENETIC CARRIER STATUS|OCCUPANT OF SPECIAL VEHICLE MAINLY USED ON INDUSTRIAL PREMISES INJURED IN TRANSPORT ACCIDENT
V830|HEMOPHILIA A CARRIER|DRIVER OF SPECIAL INDUSTRIAL VEHICLE INJURED IN TRAFFIC ACCIDENT
V84|GENETIC SUSCEPTIBILITY TO DISEASE|OCCUPANT OF SPECIAL VEHICLE MAINLY USED IN AGRICULTURE INJURED IN TRANSPORT ACCIDENT
V840|GENETIC SUSCEPTIBILITY TO MALIGNANT NEOPLASM|DRIVER OF SPECIAL AGRICULTURAL VEHICLE INJURED IN TRAFFIC ACCIDENT
V85|BODY MASS INDEX [BMI]|OCCUPANT OF SPECIAL CONSTRUCTION VEHICLE INJURED IN TRANSPORT ACCIDENT
V850|BODY MASS INDEX LESS THAN 19, ADULT|DRIVER OF SPECIAL CONSTRUCTION VEHICLE INJURED IN TRAFFIC ACCIDENT
V851|BODY MASS INDEX BETWEEN 19-24, ADULT|PASSENGER OF SPECIAL CONSTRUCTION VEHICLE INJURED IN TRAFFIC ACCIDENT
V852|BODY MASS INDEX BETWEEN 25-29, ADULT|PERSON ON OUTSIDE OF SPECIAL CONSTRUCTION VEHICLE INJURED IN TRAFFIC ACCIDENT
V853|BODY MASS INDEX BETWEEN 30-39, ADULT|UNSPECIFIED OCCUPANT OF SPECIAL CONSTRUCTION VEHICLE INJURED IN TRAFFIC ACCIDENT
V854|BODY MASS INDEX 40 AND OVER, ADULT|PERSON INJURED WHILE BOARDING OR ALIGHTING FROM SPECIAL CONSTRUCTION VEHICLE
V855|BODY MASS INDEX, PEDIATRIC|DRIVER OF SPECIAL CONSTRUCTION VEHICLE INJURED IN NONTRAFFIC ACCIDENT
V86|ESTROGEN RECEPTOR STATUS|OCCUPANT OF SPECIAL ALL-TERRAIN OR OTHER OFF-ROAD MOTOR VEHICLE, INJURED IN TRANSPORT ACCIDENT
V860|ESTROGEN RECEPTOR POSITIVE STATUS [ER+]|DRIVER OF SPECIAL ALL-TERRAIN OR OTHER OFF-ROAD MOTOR VEHICLE INJURED IN TRAFFIC ACCIDENT
V861|ESTROGEN RECEPTOR NEGATIVE STATUS [ER-]|PASSENGER OF SPECIAL ALL-TERRAIN OR OTHER OFF-ROAD MOTOR VEHICLE INJURED IN TRAFFIC ACCIDENT
V87|OTHER SPECIFIED PERSONAL EXPOSURES AND HISTORY PRESENTING HAZARDS TO HEALTH|TRAFFIC ACCIDENT OF SPECIFIED TYPE BUT VICTIM'S MODE OF TRANSPORT UNKNOWN
V870|CONTACT WITH AND (SUSPECTED) EXPOSURE TO HAZARDOUS METALS|PERSON INJURED IN COLLISION BETWEEN CAR AND TWO- OR THREE-WHEELED POWERED VEHICLE (TRAFFIC)
V871|CONTACT WITH AND (SUSPECTED) EXPOSURE TO HAZARDOUS AROMATIC COMPOUNDS|PERSON INJURED IN COLLISION BETWEEN OTHER MOTOR VEHICLE AND TWO- OR THREE-WHEELED MOTOR VEHICLE (TRAFFIC)
V872|CONTACT WITH AND (SUSPECTED) EXPOSURE TO OTHER POTENTIALLY HAZARDOUS CHEMICALS|PERSON INJURED IN COLLISION BETWEEN CAR AND PICK-UP TRUCK OR VAN (TRAFFIC)
V873|CONTACT WITH AND (SUSPECTED ) EXPOSURE TO OTHER POTENTIALLY HAZARDOUS SUBSTANCES|PERSON INJURED IN COLLISION BETWEEN CAR AND BUS (TRAFFIC)
V874|PERSONAL HISTORY OF DRUG THERAPY|PERSON INJURED IN COLLISION BETWEEN CAR AND HEAVY TRANSPORT VEHICLE (TRAFFIC)
V88|ACQUIRED ABSENCE OF OTHER ORGANS AND TISSUE|NONTRAFFIC ACCIDENT OF SPECIFIED TYPE BUT VICTIM'S MODE OF TRANSPORT UNKNOWN
V880|ACQUIRED ABSENCE OF CERVIX AND UTERUS|PERSON INJURED IN COLLISION BETWEEN CAR AND TWO- OR THREE-WHEELED MOTOR VEHICLE, NONTRAFFIC
V881|ACQUIRED ABSENCE OF PANCREAS|PERSON INJURED IN COLLISION BETWEEN OTHER MOTOR VEHICLE AND TWO- OR THREE-WHEELED MOTOR VEHICLE, NONTRAFFIC
V882|ACQUIRED ABSENCE OF JOINT|PERSON INJURED IN COLLISION BETWEEN CAR AND PICK-UP TRUCK OR VAN, NONTRAFFIC
V89|OTHER SUSPECTED CONDITIONS NOT FOUND|MOTOR- OR NONMOTOR-VEHICLE ACCIDENT, TYPE OF VEHICLE UNSPECIFIED
V890|SUSPECTED MATERNAL AND FETAL CONDITIONS NOT FOUND|PERSON INJURED IN UNSPECIFIED MOTOR-VEHICLE ACCIDENT, NONTRAFFIC
V892|SPCIAL SCRNING FOR OTHER CONDITNS-UNSPECIFD CONDITN|PERSON INJURED IN UNSPECIFIED MOTOR-VEHICLE ACCIDENT, TRAFFIC
V90|RETAINED FOREIGN BODY|DROWNING AND SUBMERSION DUE TO ACCIDENT TO WATERCRAFT
V900|RETAINED RADIOACTIVE FRAGMENT|DROWNING AND SUBMERSION DUE TO WATERCRAFT OVERTURNING
V9001|RETAINED DEPLETED URANIUM FRAGMENTS|DROWNING AND SUBMERSION DUE TO PASSENGER SHIP OVERTURNING
V9009|OTHER RETAINED RADIOACTIVE FRAGMENTS|DROWNING AND SUBMERSION DUE TO UNSPECIFIED WATERCRAFT OVERTURNING
V901|RETAINED METAL FRAGMENTS|DROWNING AND SUBMERSION DUE TO WATERCRAFT SINKING
V9010|RETAINED METAL FRAGMENTS, UNSPECIFIED|DROWNING AND SUBMERSION DUE TO MERCHANT SHIP SINKING
V9011|RETAINED MAGNETIC METAL FRAGMENTS|DROWNING AND SUBMERSION DUE TO PASSENGER SHIP SINKING
V9012|RETAINED NONMAGNETIC METAL FRAGMENTS|DROWNING AND SUBMERSION DUE TO FISHING BOAT SINKING
V902|RETAINED PLASTIC FRAGMENTS|DROWNING AND SUBMERSION DUE TO FALLING OR JUMPING FROM BURNING WATERCRAFT
V903|RETAINED ORGANIC FRAGMENTS|DROWNING AND SUBMERSION DUE TO FALLING OR JUMPING FROM CRUSHED WATERCRAFT
V9031|RETAINED ANIMAL QUILLS OR SPINES|DROWNING AND SUBMERSION DUE TO FALLING OR JUMPING FROM CRUSHED PASSENGER SHIP
V9032|RETAINED TOOTH|DROWNING AND SUBMERSION DUE TO FALLING OR JUMPING FROM CRUSHED FISHING BOAT
V9033|RETAINED WOOD FRAGMENTS|DROWNING AND SUBMERSION DUE TO FALLING OR JUMPING FROM OTHER CRUSHED POWERED WATERCRAFT
V9039|OTHER RETAINED ORGANIC FRAGMENTS|DROWNING AND SUBMERSION DUE TO FALLING OR JUMPING FROM CRUSHED UNSPECIFIED WATERCRAFT
V908|OTHER SPECIFIED RETAINED FOREIGN BODY|DROWNING AND SUBMERSION DUE TO OTHER ACCIDENT TO WATERCRAFT
V9081|RETAINED GLASS FRAGMENTS|DROWNING AND SUBMERSION DUE TO OTHER ACCIDENT TO PASSENGER SHIP
V9083|RETAINED STONE OR CRYSTALLINE FRAGMENTS|DROWNING AND SUBMERSION DUE TO OTHER ACCIDENT TO OTHER POWERED WATERCRAFT
V9089|OTHER SPECIFIED RETAINED FOREIGN BODY|DROWNING AND SUBMERSION DUE TO OTHER ACCIDENT TO UNSPECIFIED WATERCRAFT
V91|MULTIPLE GESTATION PLACENTA STATUS|OTHER INJURY DUE TO ACCIDENT TO WATERCRAFT
V910|TWIN GESTATION PLACENTA STATUS|BURN DUE TO WATERCRAFT ON FIRE
V9100|TWIN GESTATION, UNSPECIFIED NUMBER OF PLACENTA, UNSPECIFIED NUMBER OF AMNIOTIC SACS|BURN DUE TO MERCHANT SHIP ON FIRE
V9101|TWIN GESTATION, MONOCHORIONIC/MONOAMNIOTIC (ONE PLACENTA, ONE AMNIOTIC SAC)|BURN DUE TO PASSENGER SHIP ON FIRE
